T,E,fold_cv,task_id,logloss_poda,logloss_real,logloss_perdido(%),n_iter_poda,n_iter_real,iter_ahorradas(%),sesgo_calibracion
5,0.1,0,190392,0.374188,0.331513,12.8728,1001472,2030996,50.6906,0.077823
5,0.1,0,359956,0.295613,0.292846,0.9449,357349,1344127,73.414,-0.018038
5,0.1,0,359965,0.015906,0.015906,0.0,392579,2178742,81.9814,-0.101787
5,0.1,0,359975,0.020519,0.020519,0.0,295036,866096,65.935,-0.029774
5,0.1,0,359980,0.067476,0.067476,0.0,1835838,3195868,42.5559,-0.152901
5,0.1,1,168757,0.483917,0.483917,-0.0,1038788,1089383,4.6444,0.181829
5,0.1,1,168911,0.395381,0.395381,0.0,985597,1078823,8.6415,0.035822
5,0.1,1,359958,0.174458,0.174458,0.0,1026167,1203058,14.7034,0.00925
5,0.1,1,359971,0.074054,0.074054,0.0,1031504,2192970,52.9632,-0.037792
5,0.1,1,359979,0.156482,0.152303,2.7439,145408,2219443,93.4484,-0.024572
5,0.1,1,359982,0.191489,0.191489,0.0,2257560,2257560,0.0,0.014484
5,0.1,1,359983,0.272251,0.272251,0.0,2764406,2765344,0.0339,-0.031561
5,0.1,2,190137,0.141292,0.141292,0.0,337428,967234,65.1141,-0.062119
5,0.1,2,190410,0.43528,0.43374,0.3551,1956477,2133582,8.3008,0.064
5,0.1,2,190411,0.293145,0.293145,0.0,1213074,1588070,23.6133,-0.011141
5,0.1,2,359962,0.332263,0.332263,0.0,823347,823347,0.0,0.05451
5,0.1,2,359968,0.143561,0.141681,1.3269,451587,1567975,71.1993,-0.089082
5,0.1,2,359972,0.130461,0.130461,0.0,1119246,2115802,47.1006,0.025466
10,-0.2,0,146820,0.0394,0.038271,2.95,146182,1740856,91.6029,-0.119779
10,-0.2,0,168350,0.266739,0.23352,14.2253,136936,1704624,91.9668,-0.045382
10,-0.2,0,190392,0.374188,0.331513,12.8728,149401,2030996,92.644,0.037291
10,-0.2,0,359956,0.295673,0.292846,0.9654,152397,1344127,88.662,-0.056464
10,-0.2,0,359965,0.015906,0.015906,0.0,682769,2178742,68.6622,-0.183477
