T,E,fold_cv,task_id,logloss_poda,logloss_real,logloss_perdido(%),n_iter_poda,n_iter_real,iter_ahorradas(%),sesgo_calibracion
5,0.1,0,359956,0.285494,0.285494,0.0,374178,441191,15.1891,-0.024419
5,0.1,0,359965,0.016131,0.016131,0.0,799846,849323,5.8255,-0.124352
5,0.1,0,359975,0.020648,0.020512,0.663,119501,288404,58.5647,-0.096902
5,0.1,0,359980,0.066671,0.066671,-0.0,1518112,1577750,3.7799,-0.167614
5,0.1,1,168757,0.479304,0.479304,0.0,301394,301394,0.0,0.127885
5,0.1,1,168911,0.395491,0.392326,0.8067,133157,467507,71.5176,0.070659
5,0.1,1,359958,0.170866,0.170866,0.0,213784,385852,44.5943,0.026009
5,0.1,1,359971,0.062183,0.062183,0.0,724679,786481,7.858,-0.121063
5,0.1,1,359979,0.156387,0.149956,4.2886,119817,1203291,90.0426,0.095524
5,0.1,1,359982,0.1906,0.1906,0.0,901464,901464,0.0,0.046722
5,0.1,1,359983,0.271274,0.271175,0.0365,623502,1355440,54.0,0.013925
5,0.1,2,190137,0.141034,0.140074,0.6854,129632,494909,73.8069,-0.018843
5,0.1,2,190410,0.425278,0.425278,0.0,214776,545157,60.6029,0.071454
5,0.1,2,190411,0.290798,0.290798,0.0,1004743,1027795,2.2429,0.050669
5,0.1,2,359962,0.327112,0.327112,0.0,197157,204654,3.6633,0.070636
5,0.1,2,359968,0.140843,0.140843,0.0,204334,817466,75.004,-0.022757
5,0.1,2,359972,0.126834,0.126079,0.5988,318961,416740,23.4628,-0.010516
10,-0.2,0,146820,0.039148,0.037995,3.0346,121878,1238041,90.1556,-0.075995
10,-0.2,0,168350,0.232429,0.225671,2.9946,109357,630490,82.6552,-0.046378
10,-0.2,0,190392,0.374188,0.3172,17.966,119350,713336,83.2688,0.062296
10,-0.2,0,359956,0.295673,0.285494,3.5654,92712,441191,78.986,-0.043664
10,-0.2,0,359965,0.016131,0.016131,0.0,808173,849323,4.845,-0.163561
10,-0.2,0,359975,0.021307,0.020512,3.8758,58922,288404,79.5696,-0.057556
10,-0.2,0,359980,0.066671,0.066671,-0.0,1031574,1577750,34.6174,-0.133486
10,-0.2,1,168757,0.486913,0.479304,1.5875,74057,301394,75.4285,0.129076
10,-0.2,1,168911,0.399609,0.392326,1.8564,75244,467507,83.9053,0.129957
10,-0.2,1,359958,0.177909,0.170866,4.1219,76680,385852,80.1271,0.023206
10,-0.2,1,359971,0.062183,0.062183,0.0,724475,786481,7.884,-0.044962
10,-0.2,1,359979,0.16251,0.149956,8.3718,120711,1203291,89.9683,0.076193
10,-0.2,1,359982,0.192176,0.1906,0.8269,130298,901464,85.546,0.043414
10,-0.2,1,359983,0.272035,0.271175,0.3171,168190,1355440,87.5915,0.03764
10,-0.2,2,190137,0.142754,0.140074,1.9133,74994,494909,84.8469,0.002765
10,-0.2,2,190410,0.442706,0.425278,4.098,120209,545157,77.9497,0.059745
10,-0.2,2,190411,0.294607,0.290798,1.3098,98469,1027795,90.4194,0.017776
10,-0.2,2,359962,0.33539,0.315116,6.4339,58685,204257,71.269,0.040734
10,-0.2,2,359968,0.143175,0.140843,1.6557,108306,817466,86.751,-0.040117
10,-0.2,2,359972,0.126079,0.126079,0.0,352518,416740,15.4106,-0.036261
10,-0.1,0,146820,0.039148,0.037995,3.0346,124847,1238041,89.9158,-0.075995
10,-0.1,0,168350,0.229157,0.225671,1.5447,136120,630490,78.4104,-0.046378
10,-0.1,0,190392,0.374188,0.3172,17.966,119350,713336,83.2688,0.062296
10,-0.1,0,359956,0.285494,0.285494,0.0,232660,441191,47.2655,-0.043664
10,-0.1,0,359965,0.016131,0.016131,0.0,808173,849323,4.845,-0.163561
10,-0.1,0,359975,0.020512,0.020512,0.0,63296,288404,78.053,-0.057556
10,-0.1,0,359980,0.066671,0.066671,-0.0,1120398,1577750,28.9876,-0.133486
10,-0.1,1,168757,0.486913,0.479304,1.5875,74057,301394,75.4285,0.129076
10,-0.1,1,168911,0.396838,0.392326,1.1501,87235,467507,81.3404,0.129957
10,-0.1,1,359958,0.177808,0.170866,4.0628,80157,385852,79.226,0.023206
10,-0.1,1,359971,0.062183,0.062183,0.0,731894,786481,6.9407,-0.044962
10,-0.1,1,359979,0.16251,0.149956,8.3718,120711,1203291,89.9683,0.076193
10,-0.1,1,359982,0.191734,0.1906,0.595,132953,901464,85.2514,0.043414
10,-0.1,1,359983,0.271918,0.271175,0.274,212706,1355440,84.3072,0.03764
10,-0.1,2,190137,0.142326,0.140074,1.6077,84687,494909,82.8884,0.002765
10,-0.1,2,190410,0.442706,0.425278,4.098,120209,545157,77.9497,0.059745
10,-0.1,2,190411,0.291179,0.290798,0.131,175058,1027795,82.9676,0.017776
10,-0.1,2,359962,0.33539,0.315116,6.4339,58685,204257,71.269,0.040734
10,-0.1,2,359968,0.143175,0.140843,1.6557,116871,817466,85.7033,-0.040117
10,-0.1,2,359972,0.126079,0.126079,0.0,352518,416740,15.4106,-0.036261
10,0.0,0,146820,0.038538,0.037995,1.4291,131450,1238041,89.3824,-0.075995
10,0.0,0,168350,0.227085,0.225671,0.6266,178489,630490,71.6904,-0.046378
10,0.0,0,190392,0.359271,0.3172,13.2632,121460,713336,82.973,0.062296
10,0.0,0,359956,0.285494,0.285494,0.0,362889,441191,17.7479,-0.043664
10,0.0,0,359965,0.016131,0.016131,0.0,808173,849323,4.845,-0.163561
10,0.0,0,359975,0.020512,0.020512,0.0,99127,288404,65.6291,-0.057556
10,0.0,0,359980,0.066671,0.066671,-0.0,1225200,1577750,22.3451,-0.133486
10,0.0,1,168757,0.48355,0.479304,0.8859,102263,301394,66.07,0.129076
10,0.0,1,168911,0.396838,0.392326,1.1501,103043,467507,77.959,0.129957
10,0.0,1,359958,0.175422,0.170866,2.6664,107027,385852,72.2622,0.023206
10,0.0,1,359971,0.062183,0.062183,0.0,740209,786481,5.8834,-0.044962
10,0.0,1,359979,0.16251,0.149956,8.3718,120711,1203291,89.9683,0.076193
10,0.0,1,359982,0.19086,0.1906,0.1364,325235,901464,63.9215,0.043414
10,0.0,1,359983,0.271607,0.271175,0.1593,250572,1355440,81.5136,0.03764
10,0.0,2,190137,0.141034,0.140074,0.6854,106696,494909,78.4413,0.002765
10,0.0,2,190410,0.442706,0.425278,4.098,131747,545157,75.8332,0.059745
10,0.0,2,190411,0.290798,0.290798,0.0,568048,1027795,44.7314,0.017776
