T,RMSE,RMSE_std,MAE,MAE_std,MAPE,MAPE_std,R2,R2_std,Importancia_Params,Parámetros
5,0.06433322628708656,0.018892297252567903,0.06433322628708656,0.0159159051803248,0.5327765981749197,0.4213960335259103,0.6161428049289129,0.09263895328946739,"{'learning_rate': np.float64(0.3368), 'batch_size': np.float64(0.1883), 'dropout': np.float64(0.1857), 'lstm_units': np.float64(0.1526), 'dense_units': np.float64(0.1366)}","{'lstm_units': 36, 'dense_units': 16, 'dropout': 0.3381039081951648, 'learning_rate': 0.0005799505622011225, 'batch_size': 64}"
10,0.0589657346588963,0.023314161346364763,0.0589657346588963,0.01870096109666317,0.5159428817361247,0.46443857606720823,0.6679233985540732,0.12612194552692474,"{'batch_size': np.float64(0.3577), 'dropout': np.float64(0.2242), 'learning_rate': np.float64(0.2182), 'dense_units': np.float64(0.1711), 'lstm_units': np.float64(0.0289)}","{'lstm_units': 60, 'dense_units': 8, 'dropout': 0.46992188575646593, 'learning_rate': 0.0014054250873712457, 'batch_size': 128}"
15,0.05372320293373866,0.006241326151258294,0.05372320293373866,0.006670210910301421,0.39219767949196543,0.25868344324463577,0.6936981901164364,0.04178074058507193,"{'lstm_units': np.float64(0.4903), 'batch_size': np.float64(0.1965), 'dropout': np.float64(0.1404), 'learning_rate': np.float64(0.1258), 'dense_units': np.float64(0.0469)}","{'lstm_units': 52, 'dense_units': 28, 'dropout': 0.4313254230372521, 'learning_rate': 0.001039279801134998, 'batch_size': 64}"
20,0.04603749384308703,0.011060938891385139,0.04603749384308703,0.010750915146236831,0.3855852922897491,0.3146207291428449,0.7744273477219252,0.056533608550039804,"{'batch_size': np.float64(0.3434), 'learning_rate': np.float64(0.273), 'dense_units': np.float64(0.1815), 'lstm_units': np.float64(0.1144), 'dropout': np.float64(0.0877)}","{'lstm_units': 36, 'dense_units': 60, 'dropout': 0.3503452609497175, 'learning_rate': 0.0009724693029321929, 'batch_size': 128}"
